Component Name,Atomic Level,Build Method,In Current System?,Radix Primitive,Status,Pattern Candidate,Usage,Notes,Decisions
Dialog,Organism,React,Yes (as NewDialog / NewConfirmationDialog),Radix Dialog,Not started,No,"Modal overlay that interrupts the user to present critical information or require a decision. Supports a Confirmation variant — a smaller focused dialog used to confirm or cancel a destructive or irreversible action. Handles focus trapping, scroll lock, keyboard dismissal (Escape), and ARIA dialog pattern.","Consolidates NewDialog and NewConfirmationDialog from the current system. Confirmation Dialog is a variant, not a separate component.",Combined Dialog and Confirmation Dialog into a single component with a confirmation variant.
Divider,Atom,CSS-only,Yes (Storybook as HR),N/A,Excluded,No,"Horizontal or vertical rule used to visually separate content sections. Rendered via the native <hr> element.","Not building as a component — handled by global styles on the native <hr> element.",Handled via global styles on <hr> rather than a dedicated component.
Drawer,Organism,React,Yes (Storybook),Radix Dialog,Not started,No,"Overlay panel that slides in from the edge of the screen — typically the right side. Used for secondary content like help center panels, settings, or detail views that don't warrant full-page navigation. Always temporary and overlays existing content. For navigation that collapses on mobile, use Navigation Sidebar instead.","Navigation Sidebar manages its own collapse/slide behavior internally and is not built on top of Drawer — they are semantically distinct (nav landmark vs. overlay panel).",
Box,N/A,CSS-only,Yes (Storybook + Figma),N/A,Excluded,No,"Generic layout container.","Replaced by CSS compositions (.stack, .cluster, .grid, etc.) in the new system.",Excluded — replaced by CUBE CSS compositions.
Flex,N/A,CSS-only,Yes (Storybook + Figma),N/A,Excluded,No,"Flexbox layout container.","Replaced by CSS compositions in the new system.",Excluded — replaced by CUBE CSS compositions.
Grid,N/A,CSS-only,Yes (Storybook + Figma),N/A,Excluded,No,"Grid layout container.","Replaced by CSS compositions in the new system.",Excluded — replaced by CUBE CSS compositions.
Heading,N/A,CSS-only,Yes (Storybook + Figma),N/A,Excluded,No,"Typographic heading element (h1–h6).","Handled by global CSS styles on native HTML heading elements. Use .type-heading-* utility classes for styling.",Excluded — handled by global styles and type utility classes.
Link,N/A,CSS-only,Yes (Storybook + Figma),N/A,Excluded,No,"Inline navigation link.","Handled by global CSS styles on the native <a> element. External Link is a variant with an external icon — documented as a usage pattern.",Excluded — handled by global styles on <a>.
External Link,N/A,CSS-only,Yes (Storybook),N/A,Excluded,No,"Link that opens in a new tab, typically with an external indicator icon.","Variant of Link — handled by global CSS and documented as a usage pattern rather than a separate component.",Excluded — documented as a Link usage pattern.
Text,N/A,CSS-only,Yes (Storybook + Figma),N/A,Excluded,No,"Typographic body text element.","Handled by global CSS styles on native HTML text elements (<p>, <span>, etc.) and .type-* utility classes.",Excluded — handled by global styles and type utility classes.
Filters,Molecule,N/A,Yes (Storybook as Filter Dropdown / Figma as Filters),N/A,Excluded,No,"A filtering UI that allows users to narrow a list by selecting a category from a dropdown. In VIP this is a simple single-select dropdown — for example filtering applications by type.","Not a separate component — this is just the Dropdown component used in a filter context. Document as a usage example in Dropdown documentation. Filtering logic lives in the Dashboard.",Excluded as a standalone component — document as a Dropdown usage example instead.
Footer,Organism,CSS-only,Yes (Storybook),N/A,Not started,No,"Page-level component at the bottom of the layout — contains links, legal text, and secondary navigation. Shared across multiple VIP applications (Dashboard, Auth, etc.).","Shared across multiple consuming apps — belongs in the design system. Build method TBD depending on whether content needs to be configurable via props.","A filtering UI that allows users to narrow a list by selecting a category from a dropdown. In VIP this is a simple single-select dropdown — for example filtering applications by type.","Not a separate component — this is just the Dropdown component used in a filter context. Document as a usage example in Dropdown documentation. Filtering logic lives in the Dashboard.",Excluded as a standalone component — document as a Dropdown usage example instead.
File Upload,Molecule,React,Yes (Figma only),N/A,Deferred,No,"Form control for selecting and uploading one or more files. Typically includes a styled trigger button and a display area showing selected file names. May support drag-and-drop.","No current use case identified in the Dashboard. Defer until a concrete need arises.",
Input,Atom,CSS-only,Yes,N/A,Not started,No,"Single-line text entry field. Supports default, focus, error, disabled, read-only, and placeholder states. Includes a label and optional helper/error text. See Textarea for multi-line text entry.",,
Label,Atom,CSS-only,Yes (Storybook),N/A,Excluded,No,"Visible text label associated with a form control.","Handled by global CSS on the native <label> element. Used as part of each form control component rather than as a standalone component.",Excluded — handled by global styles on <label>.
Mobile Menu,Organism,React,Yes (Storybook),Radix Dialog,Not started,No,"Navigation overlay for smaller screens — a full-screen or slide-in panel containing main navigation links, triggered by a hamburger button.","Included in the design system — the system primarily serves the VIP Dashboard.",Reinstated — included in v3 scope.
Navigation Sidebar,Organism,React,Yes (Storybook + Figma),N/A,Not started,No,"Persistent sidebar navigation panel containing the main nav links. Collapses or slides in on smaller screens — mobile behavior is managed internally, not via the Drawer component.","Included in the design system — the system primarily serves the VIP Dashboard.",Reinstated — included in v3 scope.
Navigation Toolbar,Organism,N/A,Yes (Storybook + Figma),N/A,Excluded,No,"Top-level toolbar containing the VIP logo, environment switcher, and global actions.","Same component as Toolbar — consolidated into a single entry. See Toolbar.",Consolidated into Toolbar.
Nested Checkbox Group,Molecule,React,Yes (Figma),N/A,Not started,No,"A checkbox group with parent-child hierarchy. Selecting a parent checks all children; deselecting unchecks all. When only some children are checked the parent displays an indeterminate state. Used in VIP for notification settings — subscribing to specific events within a notification category.","Parent/child state management and programmatic indeterminate state require JS. Builds on the Checkbox atom.",
Notice,Molecule,CSS-only,Yes (as Support),N/A,Not started,No,"Inline feedback component used to communicate status messages — errors, warnings, successes, and informational messages — within the context of a page or form. Combines an icon, a message, and an optional action or dismiss button.","Previously called Support in the current system. Renamed to Notice for clarity.",
Option Row,Molecule,CSS-only,Yes (Storybook + tokens),N/A,Not started,No,"Selectable row component — a styled list item that acts as a clickable option. Supports a default and an alternate (inverse) style variant. Selection state handled via data-* attributes.",,
Page Header,Organism,N/A,Yes (Figma),N/A,Excluded,Yes,"Page-level component containing the page title, breadcrumb, and primary actions for a given view. Used on every page in the Dashboard.","Dashboard-specific — not a design system component. Document as a pattern in Phase 7 so the structure is consistent and repeatable. Implement as a local Dashboard component using design system tokens and utility classes.",Excluded as a design system component — document as a pattern in Phase 7. Implement locally in the Dashboard.
Pagination,Molecule,CSS-only,Yes (Storybook + Figma),N/A,Not started,No,"Navigation control for moving between pages of content — a row of page number buttons with previous/next controls. Supports a Simple Pagination variant for contexts where a minimal previous/next control is sufficient.","Simple Pagination from the current Storybook is a variant of Pagination, not a separate component.",Simple Pagination consolidated into Pagination as a variant.
Simple Pagination,Molecule,CSS-only,Yes (Storybook),N/A,Excluded,No,"Minimal previous/next pagination control.","Consolidated into Pagination as a variant — not a separate component.",Consolidated into Pagination as a variant.
Popover,Molecule,React,No,Radix Popover,Not started,No,"Small overlay that appears near a trigger element — used to display additional content or actions without navigating away. Contains richer content than a Tooltip (buttons, links, formatted text) and requires user interaction to dismiss. Used in VIP for chart data interaction.","Check against metrics popover. Not in the current design system — new component for v3.",
Progress Bar,Atom,CSS-only,Yes (Storybook + Figma),N/A,Not started,No,"Visual indicator of completion or progress — a horizontal bar that fills from left to right to show how much of a task or process is complete. Value set via the native <progress> element or a CSS custom property.",,
Radio,Atom,CSS-only,Yes (Storybook + tokens),N/A,Not started,No,"Individual radio button input. Use within a Radio Box Group or Radio Box Group for grouped selection. Native <input type=""radio""> handles all selection behavior.",,
Radio Box,Molecule,CSS-only,Yes (Storybook + tokens),N/A,Not started,No,"A single radio input combined with a label in a styled container. Used as a building block within Radio Box Group. Presents a radio option as a selectable card.",,
Radio Box Group,Molecule,CSS-only,Yes (Storybook + tokens),N/A,Not started,No,"A group of Radio Box components presented as selectable cards. Users select one option from the group. Built from native <input type=""radio""> elements.",,
Radio Chip,Atom,CSS-only,Yes (Storybook as RadioGroupChip),N/A,Not started,No,"A segmented selection control that is semantically a group of radio buttons but visually resembles a toggle. Labels appear on each chip. Supports more than two options — the choice is not always binary. Use when options need to be displayed inline as labeled buttons rather than as radio inputs or cards.","Visually similar to Toggle but semantically distinct — built as radio inputs and supports more than two items.",
Search,Atom,CSS-only,Yes (Storybook + Figma),N/A,Excluded,No,"A search input field with a search icon and optional clear button. Uses <input type=""search"">.","A variant of Input rather than a separate component — shares the same tokens, states, and visual language. Document as an Input variant.",Consolidated into Input as a variant.
Select,Atom,CSS-only,Yes (Storybook + Figma),N/A,Not started,No,"Form control for choosing one option from a list. Uses the native <select> element styled to match the design system. Supports label, error state, disabled state, and placeholder. Distinct from Dropdown — Select is a form input; Dropdown is a general-purpose overlay menu.",,
Skeleton,Atom,CSS-only,Yes (Storybook / Figma as Loading),N/A,Not started,No,"Loading placeholder that mimics the shape of content while it is being fetched. Animated gray bars or blocks that match the layout of the content they replace.",,
Slider,Atom,React,Yes (Storybook + tokens + Figma),Radix Slider,Not started,No,"Form control for selecting a value within a range by dragging a handle along a track. Includes a filled track to the left of the handle. Supports custom styling via component tokens (color, border weight, etc.).","Filled track requires JS to update on drag — not reliably achievable with pure CSS alone. Radix Slider handles filled track, keyboard navigation, and ARIA.",Upgraded from CSS-only to React — filled track requires JS to stay in sync with handle position.
Snackbar,Organism,React,Yes (Storybook + Figma),N/A — evaluate Sonner or custom build,Not started,No,"Brief non-blocking notification that appears temporarily at the edge of the screen to confirm an action or communicate a status update. Auto-dismisses after a few seconds. May include a manual dismiss button. Typically positioned at the bottom of the screen.","Radix does not have a Snackbar/Toast primitive. Evaluate Sonner or build custom. Requires timed auto-dismiss, positioning, animation, and ARIA live region.",
Sparkline,Atom,React,Yes (Figma + Dashboard),N/A,Excluded,No,"Small inline area chart used to show a metric trend at a glance. Used in the Health/Metrics section of the Dashboard.","Dashboard-specific data visualization built with Recharts. Not a design system component. Currently uses hardcoded GOLD color constants — should eventually reference design system tokens.",Excluded — Dashboard-specific Recharts component. Flag hardcoded color values for future token adoption.
Spinner,Atom,CSS-only,Yes (Storybook + Figma),N/A,Not started,No,"Animated loading indicator used to communicate an in-progress state when the duration is unknown. CSS keyframe animation on an SVG or styled element.",,
Stat,Molecule,CSS-only,Yes (Figma),N/A,Not started,No,"Displays a key metric or number prominently — a large value paired with a label and optionally a trend indicator or supporting detail. May be wrapped in a Tooltip for additional context on hover.","Tooltip is a separate component wrapping Stat — does not require Stat itself to be React.",
Status Indicator,Atom,CSS-only,Yes (Figma only),N/A,Deferred,No,"Small visual element communicating the current state of something — typically a colored dot or icon paired with a label (e.g. active, inactive, error, pending).","Not currently used in the Dashboard. Defer until a concrete use case arises.",
Sticker,Atom,CSS-only,Yes (Storybook + tokens + Figma),N/A,Not started,No,"Decorative label with a primary and secondary text element styled differently. Similar to Badge but supports two distinct labels. Use for promotional or featured content labeling.","Kept as a separate component from Badge due to the different HTML structure (two labels vs. one). Component tokens already exist.",
Table,Organism,CSS-only,Yes (Storybook + Figma),N/A,Not started,No,"Styled display table for presenting structured data in rows and columns. No sorting, filtering, column resizing, or row selection — purely a styled <table> element.","VIP plans to replace all uses of this table with a more complex table component from another design system in the near future. Build as a simple CSS-only component for now.",Intentionally kept simple — will be replaced by a third-party table component in a future migration.
Tag,Atom,CSS-only,Yes (Storybook + tokens + Figma),N/A,Not started,No,"Dismissable label that can be removed by the user via a dismiss button. Visually similar to Badge but interactive. Used inside Autocomplete (multi mode) to display selected items, and standalone for removable labels. Dismiss action and state management belong to the consuming component.","Dismiss button is a plain <button> inside the tag — no JS needed in the component itself.",
Textarea,Atom,CSS-only,Yes (Storybook as TextArea / Figma as Inputs),N/A,Not started,No,"Multi-line text entry field using the native <textarea> element. Shares the same tokens, states, and visual language as Input — default, focus, error, disabled, read-only, and placeholder. See Input for single-line text entry.",,
Thumbnail,Atom,CSS-only,Yes (Figma / used ad-hoc in Dashboard),N/A,Not started,No,"Rectangular fixed-size image container used to represent content (not people — see Avatar for person representation). Includes a fallback state displayed when no image is available. Not interactive — use a wrapping <a> element if a link is needed.","Currently used ad-hoc in the Dashboard without a dedicated component. Formalizing as a design system component for consistency.",
Tile,Molecule,N/A,Yes (Figma only — speculative),N/A,Excluded,Yes,"A settings row container with a title and description on the left and an embedded form control (Toggle, Checkbox, Radio, or navigation arrow) on the right. Supports default, hover, active, and disabled states. Visually similar to Option Row — may replace it in the future.","No current use case in the Dashboard — speculative Figma work. Deferred as a pattern candidate. Option Row may evolve into this component if a real use case arises. Can be transitioned to a component in the future if needed.",Deferred as a pattern rather than a component — usage is speculative and building a component now risks getting the API wrong. Document as a pattern in Phase 7.
Toggle,Atom,CSS-only,Yes (Storybook + tokens + Figma),N/A,Not started,No,"Binary on/off control — a sliding switch that is semantically equivalent to a checkbox but with a distinct visual treatment. Built on a native <input type=""checkbox""> styled with CSS. Use when the action takes effect immediately without a form submit.",,
Toolbar,Organism,React,Yes (Storybook + tokens + Figma),N/A,Not started,No,"Top-level bar containing global navigation and actions — navigation to application contexts, feature flag toggle (internal users only), global search trigger, help menu drawer trigger, and user avatar/settings link. Same component as Navigation Toolbar. Note: the Environment Switcher is in the sidebar navigation, not this toolbar.","Included in the design system — the system primarily serves the VIP Dashboard.",Reinstated — included in v3 scope.
Tooltip,Atom,React,Yes (Storybook + Figma),Radix Tooltip,Not started,No,"Small informational overlay that appears on hover or focus near a trigger element. Provides additional context without cluttering the UI. Dismisses when the user moves away. Styled, keyboard accessible, and works on all devices — unlike the native browser title attribute.","Native browser title attribute tooltip cannot be styled, is not keyboard accessible, and does not work on touch devices. Radix Tooltip handles positioning, keyboard accessibility, and delay behavior.",
Wizard,Template,React,Yes (Storybook + Figma),N/A,Not started,No,"Multi-step form or flow that guides users through a sequence of steps to complete a task. Manages step state, navigation between steps, validation before advancing, and progress tracking. Currently used in the VIP Dashboard — included in the design system for reuse across future VIP apps.","No Radix primitive available — custom build. Currently only used in the Dashboard but included in the design system given the complexity of building it well and its potential for reuse.",
Stat Card,Organism,React,Yes (Dashboard),N/A,Not started,No,"A Card containing a Stat, a link out to a new page, and optionally a chart slot. Used to display a key metric with supporting trend data and a navigation action. Does not include any chart library — chart content is provided by the consuming app.","No Recharts dependency — Stat Card is pure layout: Card + Stat + optional link/actions. Chart slot uses a children prop.",Reinstated — included in v3 scope. No chart library dependency.
Chart Card,Organism,React,Yes (Dashboard),N/A,Not started,No,"A shell component providing consistent chrome for chart views — title, description, optional link and action buttons, and a chart slot exposed via children prop. The consuming app (Dashboard) renders the actual chart inside the slot using Recharts or any other library.","Design system owns the layout and chrome only. Chart content is Dashboard's responsibility. children prop chosen for flexibility; consider fixed-height placeholder if layout consistency becomes hard to maintain.",Reinstated as a shell/frame component — design system owns chrome and layout, not chart content. children prop for chart slot."Multi-step form or flow that guides users through a sequence of steps to complete a task. Manages step state, navigation between steps, validation before advancing, and progress tracking. Currently used in the VIP Dashboard — included in the design system for reuse across future VIP apps.","No Radix primitive available — custom build. Currently only used in the Dashboard but included in the design system given the complexity of building it well and its potential for reuse.","Small informational overlay that appears on hover or focus near a trigger element. Provides additional context without cluttering the UI. Dismisses when the user moves away. Styled, keyboard accessible, and works on all devices — unlike the native browser title attribute.","Native browser title attribute tooltip cannot be styled, is not keyboard accessible, and does not work on touch devices. Radix Tooltip handles positioning, keyboard accessibility, and delay behavior.","Top-level bar containing global navigation and actions — navigation to application contexts, feature flag toggle (internal users only), global search trigger, help menu drawer trigger, and user avatar/settings link. Same component as Navigation Toolbar.","Dashboard-specific — too tightly coupled to VIP's navigation structure and user context to be a reusable design system component. The design system provides tokens and block styles to support it. Note: the Environment Switcher is in the sidebar navigation, not this toolbar.",Excluded — Dashboard-specific component. Design system provides supporting tokens and styles."Binary on/off control — a sliding switch that is semantically equivalent to a checkbox but with a distinct visual treatment. Built on a native <input type=""checkbox""> styled with CSS. Use when the action takes effect immediately without a form submit.",,"A settings row container with a title and description on the left and an embedded form control (Toggle, Checkbox, Radio, or navigation arrow) on the right. Supports default, hover, active, and disabled states. Visually similar to Option Row — may replace it in the future.","No current use case in the Dashboard — speculative Figma work. Deferred as a pattern candidate. Option Row may evolve into this component if a real use case arises. Can be transitioned to a component in the future if needed.",Deferred as a pattern rather than a component — usage is speculative and building a component now risks getting the API wrong. Document as a pattern in Phase 7."Rectangular fixed-size image container used to represent content (not people — see Avatar for person representation). Includes a fallback state displayed when no image is available. Not interactive — use a wrapping <a> element if a link is needed.","Currently used ad-hoc in the Dashboard without a dedicated component. Formalizing as a design system component for consistency.","Multi-line text entry field using the native <textarea> element. Shares the same tokens, states, and visual language as Input — default, focus, error, disabled, read-only, and placeholder. See Input for single-line text entry.",,"Dismissable label that can be removed by the user via a dismiss button. Visually similar to Badge but interactive. Used inside Autocomplete (multi mode) to display selected items, and standalone for removable labels. Dismiss action and state management belong to the consuming component.","Dismiss button is a plain <button> inside the tag — no JS needed in the component itself.",
Tabs (Navigation),Molecule,CSS-only,Yes (Storybook + Figma),N/A,Not started,No,"Styled navigation links organized as tabs for sub-navigation within a page or section. Clicking a tab navigates to a new route. Active state is set by the consuming app based on the current route. Uses a <nav> element with <a> links.","Split from panel Tabs into a separate component — navigation tabs are link-based and CSS-only; panel tabs require React. Only the navigation variant is currently used in VIP.",Split from Tabs into two separate components. Navigation variant is CSS-only; panel variant is deferred.
Tabs (Panel),Organism,React,Yes (Storybook + Figma),Radix Tabs,Deferred,No,"Switches between content panels on the same page. Only one panel is visible at a time. Requires keyboard navigation (arrow keys) and ARIA tablist/tabpanel pattern.","Split from navigation Tabs into a separate component. No current use case in VIP — defer until needed.",Deferred — no current use case. Split from navigation Tabs due to fundamentally different markup and behavior."Styled display table for presenting structured data in rows and columns. No sorting, filtering, column resizing, or row selection — purely a styled <table> element.","VIP plans to replace all uses of this table with a more complex table component from another design system in the near future. Build as a simple CSS-only component for now.",Intentionally kept simple — will be replaced by a third-party table component in a future migration."Decorative label with a primary and secondary text element styled differently. Similar to Badge but supports two distinct labels. Use for promotional or featured content labeling.","Kept as a separate component from Badge due to the different HTML structure (two labels vs. one). Component tokens already exist.","Small visual element communicating the current state of something — typically a colored dot or icon paired with a label (e.g. active, inactive, error, pending).","Not currently used in the Dashboard. Defer until a concrete use case arises.","Displays a key metric or number prominently — a large value paired with a label and optionally a trend indicator or supporting detail. May be wrapped in a Tooltip for additional context on hover.","Tooltip is a separate component wrapping Stat — does not require Stat itself to be React.","Animated loading indicator used to communicate an in-progress state when the duration is unknown. CSS keyframe animation on an SVG or styled element.",,"Small inline area chart used to show a metric trend at a glance. Used in the Health/Metrics section of the Dashboard.","Dashboard-specific data visualization built with Recharts. Not a design system component. Currently uses hardcoded GOLD color constants — should eventually reference design system tokens.",Excluded — Dashboard-specific Recharts component. Flag hardcoded color values for future token adoption."Brief non-blocking notification that appears temporarily at the edge of the screen to confirm an action or communicate a status update. Auto-dismisses after a few seconds. May include a manual dismiss button. Typically positioned at the bottom of the screen.","Radix does not have a Snackbar/Toast primitive. Evaluate Sonner or build custom. Requires timed auto-dismiss, positioning, animation, and ARIA live region.","Form control for selecting a value within a range by dragging a handle along a track. Includes a filled track to the left of the handle. Supports custom styling via component tokens (color, border weight, etc.).","Filled track requires JS to update on drag — not reliably achievable with pure CSS alone. Radix Slider handles filled track, keyboard navigation, and ARIA.",Upgraded from CSS-only to React — filled track requires JS to stay in sync with handle position."Loading placeholder that mimics the shape of content while it is being fetched. Animated gray bars or blocks that match the layout of the content they replace.",,"Form control for choosing one option from a list. Uses the native <select> element styled to match the design system. Supports label, error state, disabled state, and placeholder. Distinct from Dropdown — Select is a form input; Dropdown is a general-purpose overlay menu.",,"A search input field with a search icon and optional clear button. Uses <input type=""search"">.","A variant of Input rather than a separate component — shares the same tokens, states, and visual language. Document as an Input variant.",Consolidated into Input as a variant."A segmented selection control that is semantically a group of radio buttons but visually resembles a toggle. Labels appear on each chip. Supports more than two options — the choice is not always binary. Use when options need to be displayed inline as labeled buttons rather than as radio inputs or cards.","Visually similar to Toggle but semantically distinct — built as radio inputs and supports more than two items.","Visual indicator of completion or progress — a horizontal bar that fills from left to right to show how much of a task or process is complete. Value set via the native <progress> element or a CSS custom property.",,"Small overlay that appears near a trigger element — used to display additional content or actions without navigating away. Contains richer content than a Tooltip (buttons, links, formatted text) and requires user interaction to dismiss. Used in VIP for chart data interaction.","Check against metrics popover. Not in the current design system — new component for v3.","Minimal previous/next pagination control.","Consolidated into Pagination as a variant — not a separate component.",Consolidated into Pagination as a variant."Page-level component containing the page title, breadcrumb, and primary actions for a given view. Used on every page in the Dashboard.","Dashboard-specific — not a design system component. Document as a pattern in Phase 7 so the structure is consistent and repeatable. Implement as a local Dashboard component using design system tokens and utility classes.",Excluded as a design system component — document as a pattern in Phase 7. Implement locally in the Dashboard."Selectable row component — a styled list item that acts as a clickable option. Supports a default and an alternate (inverse) style variant. Selection state handled via data-* attributes.",,"Inline feedback component used to communicate status messages — errors, warnings, successes, and informational messages — within the context of a page or form. Combines an icon, a message, and an optional action or dismiss button.","Previously called Support in the current system. Renamed to Notice for clarity.","A checkbox group with parent-child hierarchy. Selecting a parent checks all children; deselecting unchecks all. When only some children are checked the parent displays an indeterminate state. Used in VIP for notification settings — subscribing to specific events within a notification category.","Parent/child state management and programmatic indeterminate state require JS. Builds on the Checkbox atom.","Top-level toolbar containing the VIP logo, environment switcher, and global actions.","Same component as Toolbar — consolidated into a single entry. See Toolbar.",Consolidated into Toolbar."Persistent sidebar navigation panel containing the main nav links. Collapses or slides in on smaller screens — mobile behavior is managed internally, not via the Drawer component.","Dashboard-specific — not shared across apps. Lives in the Dashboard, not the design system.",Excluded — Dashboard-specific component."Navigation overlay for smaller screens — a full-screen or slide-in panel containing main navigation links, triggered by a hamburger button.","Dashboard-specific — not shared across apps. Lives in the Dashboard, not the design system.",Excluded — Dashboard-specific component.Atom,CSS-only,Yes (Storybook),N/A,Excluded,No,"Visible text label associated with a form control.","Handled by global CSS on the native <label> element. Used as part of each form control component rather than as a standalone component.",Excluded — handled by global styles on <label>."Single-line text entry field. Supports default, focus, error, disabled, read-only, and placeholder states. Includes a label and optional helper/error text. See Textarea for multi-line text entry.",,
Empty State,Organism,CSS-only,No,N/A,Excluded,Yes,"A placeholder displayed when a view has no content to show — empty lists, no search results, or unpopulated sections. Typically includes an icon or illustration, a heading, a brief message, and an optional call-to-action. Structure is consistent but content varies significantly across contexts.","Not building as a component — the consistent structure is better documented as a pattern using existing compositions and utility classes. Flagged as a pattern candidate for Phase 6 documentation.",Excluded as a component — document as a pattern in Phase 6 instead.
Environment Switcher,Molecule,React,Yes (tokens + Figma),Radix Navigation Menu (TBD),Not started,No,"Navigation control in the sidebar that allows users to switch between environments (production, staging, develop, etc.) for a given application. Switching navigates to a different environment URL. Also provides access to environment management. Items are navigation links, not actions.","Included in the design system — the system primarily serves the VIP Dashboard.",Reinstated — included in v3 scope."A placeholder displayed when a view has no content to show — empty lists, no search results, or unpopulated sections. Typically includes an icon or illustration, a heading, a brief message, and an optional call-to-action. Structure is consistent but content varies significantly across contexts.","Not building as a component — the consistent structure is better documented as a pattern using existing compositions and utility classes. Flagged as a pattern candidate for Phase 6 documentation.",Excluded as a component — document as a pattern in Phase 6 instead.
